id,title,authors,year,source,url,doi
1,"The NHRA and Hospital Funding: A Review of Strategic Behavior","Smith, J. et al.","2023","PubMed","https://doi.org/10.1000/123","10.1000/123"
2,"Activity Based Funding and Safety Metrics in Australia","Jones, L.","2024","Scopus","https://doi.org/10.1000/456","10.1000/456"
3,"Pricing Framework for Australian Public Hospital Services 2024-25","IHACPA","2024","IHACPA","https://www.ihacpa.gov.au/resources/pricing-framework-2024-25",
4,"Vicious cycles: hospital bed block and the National Health Reform Agreement","Duckett, S.","2021","MJA","https://www.mja.com.au/journal/2021/214/8/vicious-cycles","10.5694/mja2.51016"
5,"Game Theory in Public Policy: A Systematic Review","Hernandez, A.B.","2025","Revista","https://bibliotecavirtual.unl.edu.ar/","10.14409/rfce.v1i1.12345"
6,"Hospital resources 2022–23: Australian hospital statistics","AIHW","2024","AIHW","https://www.aihw.gov.au/reports/hospitals/hospital-resources-2022-23",
7,"Incentive Effects of Activity Based Funding: Evidence from Australian LHNs","Brown, R.","2022","Medline","https://doi.org/10.1000/789","10.1000/789"
8,"Strategic Gaming in Healthcare: A Game Theoretic Perspective","White, M.","2023","Scopus","https://doi.org/10.1000/012","10.1000/012"
9,"ABF and the Theatre of Compliance","Green, P.","2020","Policy Review","https://doi.org/10.1000/345","10.1000/345"
10,"The NHRA and its Addendums: A Legal Analysis","Ng, D.","2024","Legal Health","https://doi.org/10.1000/678","10.1000/678"
