nep_to_cost_ratio_metro,nep_to_cost_ratio_regional,nep_to_cost_ratio_remote,rurality_weight,remote_weight,nominal_cth_share_target,effective_cth_share_base,cap_growth,has_cumulative_cap,demand_base,avoidable_ed_share,discharge_delay_base,bed_capacity_index,cost_shifting_intensity,fragmentation_index,audit_pressure,admin_burden_weight,occupancy_base,offload_base_min,within4_base,rr_beta_pressure,rr_beta_offload,offload_threshold_min,tau,bargaining_cost,political_salience,noise_sd,sample_id,pressure_2030,within4_2030,offload_2030,rr_2030,effshare_nominal_2030,effshare_effective_2030,effgap_2030
0.9,0.83,0.75,0.3903565619639838,0.07,0.45,0.38,0.065,False,1.0,0.18,1.115318378020118,1.0,0.3901154165992421,0.8798957794736187,0.5,0.41605335577530766,0.88,18.0,0.53,0.44865146114516286,0.020473793118981457,20.0,0.25,0.12,0.4036249994357569,0.03,0,1.1674627142711558,0.48792107511172844,16.157565023176762,1.078625072880242,0.4442348142171374,0.3843149310087025,0.15609892805272124
0.9,0.83,0.75,0.32519308535680386,0.07,0.45,0.38,0.065,False,1.0,0.18,1.0034744674380023,1.0,0.4922150438953228,1.081370185303844,0.5,0.05,0.88,18.0,0.53,0.2955187262182606,0.00832652208707576,20.0,0.25,0.12,0.4449931099938343,0.03,1,1.1301459653964199,0.5057929783391972,19.280935880131516,1.0427016837907535,0.4431199947022458,0.38568682817144184,0.14909171546765496
0.9,0.83,0.75,0.36226719615778014,0.07,0.45,0.38,0.065,False,1.0,0.18,1.0081753497112897,1.0,0.34137132905326845,1.043595580178215,0.5,0.31002989184541513,0.88,18.0,0.53,0.34367149457004215,0.012188228928166117,20.0,0.25,0.12,0.1723116281300024,0.03,2,1.1424480253418625,0.5000380923641086,18.677692739917685,1.0536261247687155,0.4440917101198597,0.3835866145153783,0.15790140031986657
0.9,0.83,0.75,0.36902939982465605,0.07,0.45,0.38,0.065,False,1.0,0.18,1.0446000016328711,1.0,0.34102003223617056,0.8578265785668864,0.5,0.3488575422979182,0.88,18.0,0.53,0.3590060543510319,0.015672233637614854,20.0,0.25,0.12,0.177747227217309,0.03,3,1.1423608327887707,0.5002392318803152,15.501088973395158,1.0527915136403638,0.444271076539153,0.38500924645524087,0.15411187796178535
0.9,0.83,0.75,0.4006201289735301,0.07,0.45,0.38,0.065,False,1.0,0.18,0.8526900546791608,1.0,0.34521349271529506,1.0792409417246964,0.5,0.19529308199864776,0.88,18.0,0.53,0.3701147505276623,0.01594908594625413,20.0,0.25,0.12,0.3817994020413403,0.03,4,1.073617334121339,0.534478530320782,18.706991562260203,1.0328323067639897,0.44412873815089654,0.38293460962473436,0.15996470136830274
0.9,0.83,0.75,0.4925524699433749,0.07,0.45,0.38,0.065,False,1.0,0.18,0.9344292450894071,1.0,0.28321577092163563,1.2372428373662685,0.5,0.13758129682326553,0.88,18.0,0.53,0.40346117373160095,0.019791708591693484,20.0,0.25,0.12,0.10488856034858898,0.03,5,1.1226246104860784,0.509305135886299,20.90862748514058,1.0787560408062242,0.4463852804741324,0.38176788663208694,0.1694531498356651
0.9,0.83,0.75,0.3113432158095735,0.07,0.45,0.38,0.065,False,1.0,0.18,1.0454164365426013,1.0,0.37429112098006195,1.0676733210292841,0.5,0.3333051825355282,0.88,18.0,0.53,0.5094804777732731,0.01226071218668813,20.0,0.25,0.12,0.23851815772674403,0.03,6,1.1686000019030836,0.4875563500230479,18.20682101204096,1.0922922841612495,0.4429007643429674,0.38642306908600693,0.14632937382454408
0.9,0.83,0.75,0.3138613762960295,0.07,0.45,0.38,0.065,False,1.0,0.18,1.1021767269151406,1.0,0.41285217260086676,1.1136237361542205,0.5,0.20269826089364948,0.88,18.0,0.53,0.32067646072137657,0.019036955129199548,20.0,0.25,0.12,0.3481576423219336,0.03,7,1.2044906397412616,0.4726205683345983,19.85884203942099,1.0848629589482626,0.4434750918975413,0.3852717959790614,0.15122858665511663
0.9,0.83,0.75,0.4026375869489249,0.07,0.45,0.38,0.065,False,1.0,0.18,1.103205256020161,1.0,0.4175137927453433,0.9479819035047223,0.5,0.2099807415998622,0.88,18.0,0.53,0.3985306678121941,0.012285364275931314,20.0,0.25,0.12,0.22344409153285216,0.03,8,1.1740762578347703,0.48530109793950243,16.796767842104078,1.0725169338539366,0.444815804622363,0.3848528165505252,0.1561030048392934
0.9,0.83,0.75,0.2834694693272284,0.07,0.45,0.38,0.065,False,1.0,0.18,1.2014422202349968,1.0,0.3878176704098961,1.0858309819370475,0.5,0.19955420027932924,0.88,18.0,0.53,0.25921716043735077,0.017149331304737052,20.0,0.25,0.12,0.29860059980220977,0.03,9,1.23960188782752,0.45753218266977935,19.290976294396028,1.0736333530396065,0.442930897684244,0.38728581398087003,0.14388065080213414
0.9,0.83,0.75,0.313646392280426,0.07,0.45,0.38,0.065,False,1.0,0.18,1.0182047944562571,1.0,0.2038541467661431,0.9894464903349739,0.5,0.3052234103353392,0.88,18.0,0.53,0.4173483739268994,0.010708249819260753,20.0,0.25,0.12,0.25185846649326876,0.03,10,1.1436403363529615,0.49938867629047284,17.691784140129606,1.063303040271233,0.44324693192803033,0.38611481621441773,0.1481785296361271
0.9,0.83,0.75,0.31325336290308137,0.07,0.45,0.38,0.065,False,1.0,0.18,0.9065782180357668,1.0,0.26153227653879985,1.0757938601978647,0.5,0.2243655709455008,0.88,18.0,0.53,0.2850650030679202,0.01398470197171986,20.0,0.25,0.12,0.1522926828009673,0.03,11,1.099620417610432,0.5208314504043148,18.642189017304297,1.0311769614948583,0.44313775964953483,0.38475958891474926,0.1519006339938224
0.9,0.83,0.75,0.29970311700185165,0.07,0.45,0.38,0.065,False,1.0,0.18,1.0175145247906856,1.0,0.4064836211500721,1.0800871493975284,0.5,0.1629128735826937,0.88,18.0,0.53,0.3463633340189914,0.021866003234882525,20.0,0.25,0.12,0.15278332267151443,0.03,12,1.1567384185651517,0.49359867041554506,18.65955429129408,1.0630746346925102,0.4430205103289249,0.38720573383002044,0.14429346730205017
0.9,0.83,0.75,0.4469911829417652,0.07,0.45,0.38,0.065,False,1.0,0.18,0.9322597860545031,1.0,0.3017681064920311,0.8791590966185622,0.5,0.2609793686072713,0.88,18.0,0.53,0.42380779566743426,0.005845607082793098,20.0,0.25,0.12,0.3543383458357833,0.03,13,1.0892624140488678,0.5263718592710109,15.890727758673675,1.0387882235349464,0.4450978740625752,0.3822840435289434,0.16449093776348567
0.9,0.83,0.75,0.4394826521865647,0.07,0.45,0.38,0.065,False,1.0,0.18,0.7878196037517605,1.0,0.4950847395959337,0.9729489079745887,0.5,0.20114963034546243,0.88,18.0,0.53,0.33891762790504526,0.018007619015961113,20.0,0.25,0.12,0.2965537599149518,0.03,14,1.054105659786669,0.5448867732277489,17.13009834948259,1.0193068477615188,0.44515609219972346,0.3834324062645647,0.161229543653171
0.9,0.83,0.75,0.48470344843759106,0.07,0.45,0.38,0.065,False,1.0,0.18,0.9740578750428052,1.0,0.363892363403261,1.0700341600230194,0.5,0.236306614866071,0.88,18.0,0.53,0.24967213536251065,0.02133521903666459,20.0,0.25,0.12,0.28535320685443377,0.03,15,1.1318702862571004,0.5049801100091195,18.81502115905335,1.0399146754438784,0.445893132385661,0.38299523291019977,0.16444923033820014
0.9,0.83,0.75,0.3007719534409363,0.07,0.45,0.38,0.065,False,1.0,0.18,1.0579212899899957,1.0,0.39084762833824604,1.0483314060171023,0.5,0.31611642791767713,0.88,18.0,0.53,0.2299803997732548,0.015012497734884491,20.0,0.25,0.12,0.33429822437156753,0.03,16,1.1785733365472042,0.4834751318655798,18.620479947470226,1.0468321667861853,0.44296901844977843,0.38678013574628156,0.1453985354163813
